scenario	subject	issue	commit	idx	status	final	first crash	time to find first crash
BIC	php-src	16978	8c704ab	250826-2141	bug_^negative-size-param	B	id:000000,sig:06,src:000002,time:2712737,execs:33141,op:havoc,rep:1	2712737.0
BIC	php-src	16978	8c704ab	250826-2147	none	D	id:001762,src:001761,time:14149201,execs:171560,op:havoc,rep:2,+cov |	
BIC	php-src	16978	8c704ab	250826-2154	bug_^negative-size-param	B	id:000000,sig:06,src:001333,time:6248788,execs:76162,op:havoc,rep:1	6248788.0
BIC	php-src	16978	8c704ab	250826-2201	none	N	 |	
BIC	php-src	16978	8c704ab	250903-1706	none	N	 |	
BIC	php-src	16978	8c704ab	250903-1712	none	D	id:000809,src:000739,time:2680189,execs:31403,op:havoc,rep:1,+cov |	
BIC	php-src	16978	8c704ab	250903-1720	bug_^negative-size-param	B	id:000000,sig:06,src:001665,time:10455208,execs:121788,op:havoc,rep:1	10455208.0
BIC	php-src	16978	8c704ab	250903-1729	bug_^negative-size-param	B	id:000000,sig:06,src:001130,time:30150635,execs:350377,op:quick,pos:47,val:+2	30150635.0
BIC	php-src	16978	8c704ab	250903-1739	bug_^negative-size-param	B	id:000000,sig:06,src:000003,time:1913048,execs:22116,op:havoc,rep:1	1913048.0
BIC	php-src	17442	998bce1	250826-2135	none	D	id:000000,time:0,execs:0,orig:TRIGGER_#17442_998bce1_1_gpt-4o-2024-08-06_behave |	
BIC	php-src	17442	998bce1	250826-2141	none	D	id:000000,time:0,execs:0,orig:TRIGGER_#17442_998bce1_1_gpt-4o-2024-08-06_behave |	
BIC	php-src	17442	998bce1	250826-2147	none	D	id:000000,time:0,execs:0,orig:TRIGGER_#17442_998bce1_2_gpt-4o-2024-08-06_behave |	
BIC	php-src	17442	998bce1	250826-2154	none	D	id:000000,time:0,execs:0,orig:TRIGGER_#17442_998bce1_1_gpt-4o-2024-08-06_behave |	
BIC	php-src	17442	998bce1	250826-2201	none	D	id:000000,time:0,execs:0,orig:TRIGGER_#17442_998bce1_2_gpt-4o-2024-08-06_behave |	
BIC	php-src	17442	998bce1	250903-1706	none	D	id:000000,time:0,execs:0,orig:TRIGGER_#17442_998bce1_1_gpt-4o-2024-08-06_behave |	
BIC	php-src	17442	998bce1	250903-1712	none	D	id:000000,time:0,execs:0,orig:TRIGGER_#17442_998bce1_2_gpt-4o-2024-08-06_behave |	
BIC	php-src	17442	998bce1	250903-1720	none	D	id:000000,time:0,execs:0,orig:TRIGGER_#17442_998bce1_2_gpt-4o-2024-08-06_behave |	
BIC	php-src	17442	998bce1	250903-1729	none	D	id:000000,time:0,execs:0,orig:TRIGGER_#17442_998bce1_4_gpt-4o-2024-08-06_behave |	
BIC	php-src	17442	998bce1	250903-1739	none	D	id:000000,time:0,execs:0,orig:TRIGGER_#17442_998bce1_1_gpt-4o-2024-08-06_behave |	
BIC	php-src	17463	7904a08	250826-2147	none	D	id:001429,src:001427,time:7237085,execs:177691,op:havoc,rep:1,+cov |	
BIC	php-src	17463	7904a08	250826-2154	none	D	id:000038,src:000003,time:8959,execs:604,op:quick,pos:29,+cov |	
BIC	php-src	17463	7904a08	250903-1706	none	N	 |	
BIC	php-src	17463	7904a08	250903-1720	none	D	id:006888,src:006886,time:79838583,execs:1883981,op:havoc,rep:1 |	
BIC	php-src	17463	7904a08	250903-1729	none	N	 |	
